"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 29, 2018","7,222.0","8,111.5","8,124.0","7,101.2","1.60K","-10.97%"
"Mar 28, 2018","8,111.5","7,978.9","8,250.0","7,936.1","0.63K","1.66%"
"Mar 27, 2018","7,978.9","8,307.7","8,389.7","7,935.0","1.12K","-3.65%"
"Mar 26, 2018","8,281.0","8,545.0","8,609.3","7,991.6","1.29K","-3.09%"
"Mar 25, 2018","8,545.0","8,678.9","8,812.1","8,500.0","0.85K","-1.54%"
"Mar 24, 2018","8,678.9","8,977.0","9,075.3","8,650.0","0.93K","-3.32%"
"Mar 23, 2018","8,977.0","8,815.1","8,995.0","8,324.3","1.08K","1.84%"
"Mar 22, 2018","8,815.1","9,072.9","9,195.8","8,600.0","1.05K","-2.84%"
"Mar 21, 2018","9,072.9","9,006.3","9,304.5","8,795.2","1.30K","0.74%"
"Mar 20, 2018","9,006.3","8,700.5","9,194.0","8,440.0","1.22K","3.51%"
"Mar 19, 2018","8,700.5","8,356.1","8,881.2","8,251.6","2.11K","4.12%"
"Mar 18, 2018","8,356.1","8,050.0","8,399.7","7,469.1","2.53K","3.77%"
"Mar 17, 2018","8,052.8","8,400.0","8,504.5","7,907.5","1.34K","-4.27%"
"Mar 16, 2018","8,411.7","8,455.2","8,740.0","8,124.7","1.21K","-0.51%"
"Mar 15, 2018","8,455.2","8,387.2","8,599.9","7,880.3","2.28K","0.81%"
"Mar 14, 2018","8,387.2","9,334.0","9,567.0","8,042.3","2.04K","-10.14%"
"Mar 13, 2018","9,334.0","9,329.8","9,710.4","9,071.5","1.72K","0.05%"
"Mar 12, 2018","9,329.8","9,790.0","10,147.9","9,015.2","2.55K","-4.70%"
"Mar 11, 2018","9,790.0","9,069.1","9,950.0","8,730.2","2.37K","7.95%"
"Mar 10, 2018","9,069.1","9,546.8","9,845.7","8,951.0","1.58K","-5.00%"
"Mar 09, 2018","9,546.8","9,627.3","9,727.7","8,648.1","3.38K","-0.84%"
"Mar 08, 2018","9,627.3","10,265.0","10,414.3","9,400.1","1.80K","-6.21%"
"Mar 07, 2018","10,265.0","10,923.9","11,094.1","9,653.1","1.88K","-6.03%"
"Mar 06, 2018","10,923.9","11,505.0","11,573.4","10,800.0","1.55K","-5.05%"
"Mar 05, 2018","11,505.0","11,630.4","11,750.0","11,501.3","0.92K","-1.08%"
"Mar 04, 2018","11,630.4","11,609.7","11,677.6","11,250.1","0.90K","0.18%"
